,G,Date,Age,Tm,Location,Opp,Margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
72,73,2017-04-07,32,CLE,H,ATL,L (-14),1,41:25,12,15,0.8,1,2,.500,2,6,.333,1,7,8,7,2,0,5,0,27,24.4,-15
73,74,2017-04-09,32,CLE,@,ATL,L (-1),1,46:50,11,21,0.524,1,3,.333,9,10,.900,3,13,16,10,1,0,3,6,32,29.9,2
0,1,2017-10-17,32,CLE,H,BOS,W (+3),1,41:12,12,19,0.632,1,5,.200,4,4,1.000,1,15,16,9,0,2,4,3,29,28.2,0
1,2,2017-10-20,32,CLE,@,MIL,W (+19),1,37:25,10,16,0.625,2,4,.500,2,2,1.000,1,4,5,8,1,1,5,2,24,20.2,13
2,3,2017-10-21,32,CLE,H,ORL,L (-21),1,31:12,8,15,0.533,1,3,.333,5,6,.833,0,4,4,2,1,1,1,0,22,17.6,-31
3,4,2017-10-24,32,CLE,H,CHI,W (+7),1,37:15,13,20,0.65,4,6,.667,4,5,.800,0,2,2,13,3,0,2,1,34,35.1,7
4,5,2017-10-25,32,CLE,@,BRK,L (-5),1,41:22,12,20,0.6,1,2,.500,4,8,.500,1,9,10,13,0,4,8,1,29,25.1,-2
5,6,2017-10-28,32,CLE,@,NOP,L (-22),1,30:46,6,11,0.545,1,3,.333,5,6,.833,0,3,3,8,0,0,4,3,18,13.6,-10
6,7,2017-10-29,32,CLE,H,NYK,L (-19),1,39:28,7,15,0.467,1,4,.250,1,1,1.000,1,9,10,7,2,0,4,2,16,13.8,-17
7,8,2017-11-01,32,CLE,H,IND,L (-17),1,37:28,14,22,0.636,1,5,.200,4,5,.800,1,5,6,11,2,1,8,1,33,27.0,-12
8,9,2017-11-03,32,CLE,@,WAS,W (+8),1,42:41,23,34,0.676,2,4,.500,9,9,1.000,5,6,11,7,3,2,3,2,57,53.2,6
9,10,2017-11-05,32,CLE,H,ATL,L (-2),1,40:35,10,17,0.588,0,3,.000,6,6,1.000,2,3,5,13,1,2,6,4,26,24.3,-4
10,11,2017-11-07,32,CLE,H,MIL,W (+5),1,36:42,10,20,0.5,2,4,.500,8,10,.800,1,7,8,9,3,0,1,1,30,29.9,6
11,12,2017-11-09,32,CLE,@,HOU,L (-4),1,40:01,15,24,0.625,1,4,.250,2,3,.667,0,4,4,7,1,1,8,4,33,20.0,5
12,13,2017-11-11,32,CLE,@,DAL,W (+7),1,41:47,6,14,0.429,1,3,.333,6,8,.750,1,10,11,4,0,1,6,3,19,10.8,5
13,14,2017-11-13,32,CLE,@,NYK,W (+3),1,36:16,7,14,0.5,2,4,.500,7,10,.700,3,6,9,12,0,3,5,1,23,23.8,2
14,15,2017-11-15,32,CLE,@,CHO,W (+8),1,36:38,12,24,0.5,4,7,.571,3,3,1.000,2,4,6,8,2,1,3,4,31,25.3,1
15,16,2017-11-17,32,CLE,H,LAC,W (+5),1,46:08,17,26,0.654,4,9,.444,1,5,.200,1,13,14,6,0,0,6,0,39,28.8,1
16,17,2017-11-20,32,CLE,@,DET,W (+28),1,27:16,7,14,0.5,3,5,.600,1,1,1.000,0,2,2,8,1,1,0,2,18,18.1,21
17,18,2017-11-22,32,CLE,H,BRK,W (+10),1,33:26,11,17,0.647,4,7,.571,7,9,.778,1,5,6,5,2,0,3,2,33,28.6,20
18,19,2017-11-24,32,CLE,H,CHO,W (+1),1,39:34,10,20,0.5,3,8,.375,4,7,.571,1,15,16,13,0,3,3,2,27,28.4,-2
19,20,2017-11-27,32,CLE,@,PHI,W (+22),1,31:03,12,23,0.522,3,7,.429,3,4,.750,3,11,14,6,0,0,3,0,30,24.9,1
20,21,2017-11-28,32,CLE,H,MIA,W (+11),1,28:26,10,16,0.625,1,3,.333,0,1,.000,2,10,12,6,5,1,2,1,21,25.3,26
21,22,2017-11-30,32,CLE,@,ATL,W (+7),1,37:34,8,11,0.727,3,6,.500,5,7,.714,1,5,6,12,2,2,3,3,24,28.5,10
22,23,2017-12-02,32,CLE,H,MEM,W (+5),1,39:09,13,22,0.591,0,3,.000,8,8,1.000,0,2,2,12,0,1,5,1,34,28.1,-5
23,24,2017-12-04,32,CLE,@,CHI,W (+22),1,34:16,9,15,0.6,2,4,.500,3,4,.750,0,7,7,6,2,0,2,1,23,21.6,27
24,25,2017-12-06,32,CLE,H,SAC,W (+6),1,41:03,12,18,0.667,5,8,.625,3,6,.500,2,9,11,9,3,2,7,0,32,30.8,2
25,26,2017-12-08,32,CLE,@,IND,L (-4),1,39:25,12,22,0.545,1,5,.200,4,5,.800,2,8,10,8,1,2,3,1,29,26.4,3
26,27,2017-12-09,32,CLE,H,PHI,W (+7),1,38:44,9,23,0.391,2,6,.333,10,12,.833,3,10,13,13,3,0,6,1,30,27.5,-3
27,28,2017-12-12,32,CLE,H,ATL,W (+9),1,35:01,11,13,0.846,2,3,.667,1,2,.500,0,7,7,17,2,0,2,4,25,32.3,19
28,29,2017-12-14,32,CLE,H,LAL,W (+9),1,38:43,8,18,0.444,1,6,.167,8,12,.667,1,11,12,12,2,2,5,0,25,24.8,14
29,30,2017-12-16,32,CLE,H,UTA,W (+9),1,36:48,9,15,0.6,1,4,.250,10,10,1.000,0,11,11,10,1,0,5,2,29,27.6,0
30,31,2017-12-17,32,CLE,@,WAS,W (+7),1,41:21,8,23,0.348,2,7,.286,2,3,.667,2,9,11,15,0,1,6,4,20,14.4,4
31,32,2017-12-19,32,CLE,@,MIL,L (-3),1,34:14,14,22,0.636,6,11,.545,5,5,1.000,0,1,1,7,3,2,7,1,39,31.4,-7
32,33,2017-12-21,32,CLE,H,CHI,W (+3),1,39:06,12,23,0.522,2,5,.400,8,8,1.000,1,5,6,9,3,0,4,1,34,29.8,5
33,34,2017-12-25,32,CLE,@,GSW,L (-7),1,40:03,7,18,0.389,2,7,.286,4,7,.571,1,5,6,6,0,0,7,2,20,7.6,-1
34,35,2017-12-27,32,CLE,@,SAC,L (-14),1,37:42,6,17,0.353,0,2,.000,4,5,.800,2,8,10,14,5,0,4,2,16,19.9,-11
35,36,2017-12-30,33,CLE,@,UTA,L (-3),1,37:27,12,22,0.545,1,7,.143,4,5,.800,1,7,8,6,2,1,6,1,29,21.3,-5
36,37,2018-01-02,33,CLE,H,POR,W (+17),1,33:49,10,17,0.588,0,2,.000,4,4,1.000,1,5,6,8,4,1,3,2,24,24.8,0
37,38,2018-01-03,33,CLE,@,BOS,L (-14),1,32:42,8,15,0.533,0,2,.000,3,3,1.000,0,7,7,6,1,1,4,1,19,15.3,-6
38,39,2018-01-06,33,CLE,@,ORL,W (+4),1,37:17,12,23,0.522,4,7,.571,5,7,.714,3,7,10,9,6,1,3,1,33,34.7,15
39,40,2018-01-08,33,CLE,@,MIN,L (-28),1,26:35,4,8,0.5,1,3,.333,1,3,.333,1,7,8,5,0,2,3,2,10,9.1,-39
40,41,2018-01-11,33,CLE,@,TOR,L (-34),1,32:14,9,16,0.563,0,1,.000,8,10,.800,0,3,3,1,1,2,2,1,26,19.2,-22
41,42,2018-01-12,33,CLE,@,IND,L (-2),1,40:27,11,25,0.44,2,9,.222,3,4,.750,2,6,8,11,3,1,5,2,27,22.3,-6
42,43,2018-01-15,33,CLE,H,GSW,L (-10),1,36:15,12,18,0.667,0,2,.000,8,13,.615,2,6,8,6,3,4,8,3,32,26.2,-14
43,44,2018-01-18,33,CLE,H,ORL,W (+1),1,34:47,7,16,0.438,0,4,.000,2,8,.250,1,4,5,6,1,0,6,1,16,5.9,-4
44,45,2018-01-20,33,CLE,H,OKC,L (-24),1,38:22,8,17,0.471,0,4,.000,2,4,.500,0,3,3,7,0,1,2,2,18,12.2,-33
45,46,2018-01-23,33,CLE,@,SAS,L (-12),1,37:57,10,23,0.435,2,6,.333,6,10,.600,2,7,9,7,0,1,5,0,28,18.4,-10
46,47,2018-01-26,33,CLE,H,IND,W (+7),1,39:55,11,17,0.647,0,2,.000,4,5,.800,0,10,10,11,4,1,11,0,26,22.5,12
47,48,2018-01-28,33,CLE,H,DET,W (+17),1,37:48,8,15,0.533,1,4,.250,8,9,.889,1,7,8,14,1,0,3,0,25,27.9,18
48,49,2018-01-30,33,CLE,@,DET,L (-11),1,37:45,9,20,0.45,2,7,.286,1,2,.500,0,6,6,7,0,1,4,2,21,12.8,-13
49,50,2018-01-31,33,CLE,H,MIA,W (+2),1,38:17,8,21,0.381,1,6,.167,7,11,.636,2,9,11,5,1,0,7,1,24,12.1,3
50,51,2018-02-03,33,CLE,H,HOU,L (-32),1,31:22,3,10,0.3,1,2,.500,4,4,1.000,1,8,9,9,2,1,2,0,11,15.3,-17
51,52,2018-02-06,33,CLE,@,ORL,L (-18),1,33:05,10,17,0.588,2,4,.500,3,4,.750,1,9,10,5,1,0,6,4,25,17.0,-14
52,53,2018-02-07,33,CLE,H,MIN,W (+2),1,48:19,16,22,0.727,5,7,.714,0,2,.000,1,9,10,15,1,1,5,3,37,36.6,-1
53,54,2018-02-09,33,CLE,@,ATL,W (+16),1,40:43,8,20,0.4,0,3,.000,6,7,.857,2,10,12,19,0,0,3,2,22,24.7,12
54,55,2018-02-11,33,CLE,@,BOS,W (+22),1,27:54,9,20,0.45,2,5,.400,4,7,.571,0,8,8,10,1,1,2,1,24,21.1,23
55,56,2018-02-13,33,CLE,@,OKC,W (+8),1,39:44,14,23,0.609,3,7,.429,6,10,.600,0,8,8,8,0,1,5,1,37,28.2,-1
56,57,2018-02-22,33,CLE,H,WAS,L (-7),1,36:36,13,18,0.722,1,4,.250,5,9,.556,1,8,9,8,2,0,4,2,32,28.9,-10
57,58,2018-02-23,33,CLE,@,MEM,W (+23),1,36:40,7,16,0.438,0,2,.000,4,4,1.000,0,14,14,11,1,0,3,0,18,19.5,18
58,59,2018-02-25,33,CLE,H,SAS,L (-16),1,39:58,14,25,0.56,2,5,.400,3,4,.750,2,11,13,9,1,0,6,3,33,25.5,-8
59,60,2018-02-27,33,CLE,H,BRK,W (+6),1,38:46,13,25,0.52,2,4,.500,3,3,1.000,4,8,12,11,1,0,1,1,31,31.2,2
60,61,2018-03-01,33,CLE,H,PHI,L (-11),1,39:02,12,24,0.5,2,6,.333,4,6,.667,1,8,9,8,1,0,3,2,30,23.1,-8
61,62,2018-03-03,33,CLE,H,DEN,L (-9),1,42:23,8,19,0.421,1,4,.250,8,11,.727,1,9,10,15,2,0,3,2,25,25.8,-6
62,63,2018-03-05,33,CLE,H,DET,W (+22),1,28:44,11,17,0.647,5,7,.714,4,6,.667,2,5,7,7,1,0,3,2,31,27.7,14
63,64,2018-03-07,33,CLE,@,DEN,W (+5),1,39:08,15,25,0.6,5,8,.625,4,8,.500,1,7,8,10,1,0,3,2,39,32.9,8
64,65,2018-03-09,33,CLE,@,LAC,L (-14),1,38:53,11,20,0.55,3,7,.429,0,2,.000,0,10,10,6,2,3,5,2,25,20.1,-16
65,66,2018-03-11,33,CLE,@,LAL,L (-14),1,31:27,9,20,0.45,2,8,.250,4,5,.800,2,8,10,7,1,1,2,0,24,21.6,-13
66,67,2018-03-13,33,CLE,@,PHO,W (+22),1,33:13,7,14,0.5,1,2,.500,13,15,.867,0,12,12,11,3,2,5,2,28,30.1,23
67,68,2018-03-15,33,CLE,@,POR,L (-8),1,41:05,15,25,0.6,1,4,.250,4,9,.444,0,14,14,6,2,3,6,4,35,26.4,-3
68,69,2018-03-17,33,CLE,@,CHI,W (+5),1,39:53,15,26,0.577,2,8,.250,1,4,.250,1,12,13,12,1,2,6,3,33,27.5,-4
69,70,2018-03-19,33,CLE,H,MIL,W (+7),1,40:01,16,29,0.552,3,7,.429,5,8,.625,5,7,12,10,2,1,6,2,40,33.4,4
70,71,2018-03-21,33,CLE,H,TOR,W (+3),1,39:24,11,19,0.579,1,3,.333,12,14,.857,1,6,7,17,1,0,0,2,35,39.9,12
71,72,2018-03-23,33,CLE,H,PHO,W (+25),1,29:16,11,16,0.688,1,4,.250,4,6,.667,0,6,6,9,1,1,4,3,27,24.0,11
72,73,2018-03-25,33,CLE,@,BRK,W (+7),1,38:03,14,19,0.737,1,4,.250,8,10,.800,2,8,10,8,1,0,2,3,37,35.7,11
73,74,2018-03-27,33,CLE,@,MIA,L (-19),1,37:59,7,18,0.389,0,4,.000,4,5,.800,1,5,6,7,0,0,6,1,18,8.5,-19
74,75,2018-03-28,33,CLE,@,CHO,W (+13),1,36:53,14,26,0.538,4,8,.500,9,11,.818,2,8,10,8,1,0,4,1,41,33.6,21
75,76,2018-03-30,33,CLE,H,NOP,W (+5),1,41:45,12,24,0.5,0,4,.000,3,3,1.000,1,8,9,11,1,0,1,0,27,25.8,16
76,77,2018-04-01,33,CLE,H,DAL,W (+11),1,38:32,5,21,0.238,2,3,.667,4,4,1.000,3,10,13,12,0,0,2,1,16,14.4,7
77,78,2018-04-03,33,CLE,H,TOR,W (+6),1,37:16,8,14,0.571,3,6,.500,8,11,.727,0,10,10,6,0,0,5,2,27,20.6,12
78,79,2018-04-05,33,CLE,H,WAS,W (+4),1,38:48,12,20,0.6,2,7,.286,7,10,.700,2,7,9,14,0,0,6,2,33,29.1,13
79,80,2018-04-06,33,CLE,@,PHI,L (-2),1,40:11,17,29,0.586,4,8,.500,6,11,.545,1,10,11,11,2,1,8,0,44,34.6,7
80,81,2018-04-09,33,CLE,@,NYK,W (+14),1,38:38,7,16,0.438,3,6,.500,9,10,.900,0,6,6,11,1,0,4,2,26,22.9,14
81,82,2018-04-11,33,CLE,H,NYK,L (-12),1,10:33,4,9,0.444,0,2,.000,2,3,.667,1,4,5,2,1,0,3,0,10,6.2,5
0,1,2018-10-18,33,LAL,@,POR,L (-9),1,37:20,9,16,0.563,0,4,.000,8,9,.889,2,10,12,6,1,0,6,3,26,20.4,-4
1,2,2018-10-20,33,LAL,H,HOU,L (-9),1,38:52,9,22,0.409,1,7,.143,5,7,.714,0,5,5,5,2,1,1,0,24,18.1,-13
2,3,2018-10-22,33,LAL,H,SAS,L (-1),1,42:52,11,25,0.44,2,8,.250,8,11,.727,2,6,8,14,1,1,5,2,32,26.6,-5
3,4,2018-10-24,33,LAL,@,PHO,W (+18),1,28:04,7,16,0.438,1,5,.200,4,4,1.000,0,7,7,10,3,0,0,1,19,22.3,19
4,5,2018-10-25,33,LAL,H,DEN,W (+7),1,34:40,10,17,0.588,1,5,.200,7,10,.700,0,11,11,11,3,0,2,3,28,29.7,13
5,6,2018-10-27,33,LAL,@,SAS,L (-4),1,34:18,13,21,0.619,2,6,.333,7,8,.875,1,10,11,4,2,0,4,3,35,28.4,-1
6,7,2018-10-29,33,LAL,@,MIN,L (-4),1,36:16,11,23,0.478,3,6,.500,4,5,.800,3,7,10,8,2,2,5,2,29,24.3,-6
7,8,2018-10-31,33,LAL,H,DAL,W (+1),1,38:34,11,19,0.579,2,3,.667,5,7,.714,0,5,5,6,3,0,3,3,29,23.8,5
8,9,2018-11-03,33,LAL,@,POR,W (+4),1,31:21,9,20,0.45,1,5,.200,9,11,.818,0,5,5,7,0,2,3,1,28,21.2,-22
9,10,2018-11-04,33,LAL,H,TOR,L (-14),1,28:17,6,12,0.5,2,3,.667,4,7,.571,0,2,2,6,0,1,3,3,18,12.1,-16
10,11,2018-11-07,33,LAL,H,MIN,W (+4),1,38:32,10,21,0.476,3,9,.333,1,2,.500,1,10,11,9,0,2,3,1,24,20.9,3
11,12,2018-11-10,33,LAL,@,SAC,W (+15),1,31:17,10,18,0.556,3,6,.500,2,3,.667,1,6,7,2,1,0,3,2,25,17.1,2
12,13,2018-11-11,33,LAL,H,ATL,W (+1),1,34:18,10,20,0.5,3,9,.333,3,7,.429,3,4,7,4,2,0,4,1,26,18.1,22
13,14,2018-11-14,33,LAL,H,POR,W (+9),1,36:00,13,19,0.684,5,6,.833,13,15,.867,2,8,10,9,1,3,4,0,44,44.3,4
14,15,2018-11-17,33,LAL,@,ORL,L (-13),1,25:53,8,19,0.421,3,6,.500,3,4,.750,0,4,4,7,0,1,3,0,22,15.3,-11
15,16,2018-11-18,33,LAL,@,MIA,W (+16),1,38:29,19,31,0.613,6,8,.750,7,10,.700,1,7,8,3,2,1,2,3,51,40.1,20
16,17,2018-11-21,33,LAL,@,CLE,W (+4),1,35:30,11,20,0.55,2,6,.333,8,12,.667,2,12,14,7,0,1,4,3,32,26.2,9
17,18,2018-11-23,33,LAL,H,UTA,W (+7),1,35:04,8,17,0.471,2,5,.400,4,6,.667,1,9,10,7,2,1,5,1,22,18.1,13
18,19,2018-11-25,33,LAL,H,ORL,L (-4),1,40:27,8,14,0.571,2,7,.286,6,11,.545,0,4,4,7,0,1,6,4,24,14.6,-14
19,20,2018-11-27,33,LAL,@,DEN,L (-32),1,30:04,5,15,0.333,0,4,.000,4,6,.667,0,7,7,2,2,2,4,0,14,7.6,-23
20,21,2018-11-29,33,LAL,H,IND,W (+8),1,38:09,15,27,0.556,2,7,.286,6,10,.600,1,8,9,7,2,0,4,2,38,28.7,19
21,22,2018-11-30,33,LAL,H,DAL,W (+11),1,31:19,12,21,0.571,2,4,.500,2,4,.500,2,3,5,4,0,1,4,3,28,17.9,10
22,23,2018-12-02,33,LAL,H,PHO,W (+24),1,30:59,9,17,0.529,1,5,.200,3,4,.750,0,6,6,8,0,1,5,0,22,16.4,12
23,24,2018-12-05,33,LAL,H,SAS,W (+8),1,39:42,15,24,0.625,3,7,.429,9,13,.692,0,5,5,6,2,0,2,1,42,34.9,19
24,25,2018-12-07,33,LAL,@,SAS,L (-13),1,37:21,13,28,0.464,3,8,.375,6,9,.667,2,6,8,11,2,0,1,4,35,29.7,-19
25,26,2018-12-08,33,LAL,@,MEM,W (+23),1,31:38,9,18,0.5,0,3,.000,2,3,.667,1,7,8,9,2,0,5,2,20,15.9,21
26,27,2018-12-10,33,LAL,H,MIA,W (+3),1,37:31,10,19,0.526,4,7,.571,4,8,.500,0,9,9,12,1,0,2,0,28,27.2,18
27,28,2018-12-13,33,LAL,@,HOU,L (-15),1,36:26,12,18,0.667,3,6,.500,2,6,.333,0,5,5,4,2,0,3,1,29,22.5,-9
28,29,2018-12-15,33,LAL,@,CHO,W (+28),1,30:13,7,15,0.467,2,6,.333,8,12,.667,1,11,12,11,1,0,3,0,24,24.4,31
29,30,2018-12-16,33,LAL,@,WAS,L (-18),1,32:00,5,16,0.313,0,2,.000,3,6,.500,0,6,6,3,0,1,4,0,13,3.2,-21
30,31,2018-12-18,33,LAL,@,BRK,L (-5),1,41:12,13,23,0.565,2,7,.286,8,13,.615,1,12,13,8,1,1,5,1,36,29.3,4
31,32,2018-12-21,33,LAL,H,NOP,W (+8),1,38:45,8,20,0.4,0,4,.000,6,9,.667,2,10,12,14,2,0,2,3,22,23.0,13
32,33,2018-12-23,33,LAL,H,MEM,L (-8),1,35:37,8,14,0.571,2,5,.400,4,4,1.000,1,13,14,7,1,1,4,0,22,22.6,-3
33,34,2018-12-25,33,LAL,@,GSW,W (+26),1,21:15,6,11,0.545,0,2,.000,5,8,.625,2,11,13,5,1,0,2,1,17,17.3,5
34,35,2019-01-31,34,LAL,@,LAC,W (+3),1,40:26,9,22,0.409,1,6,.167,5,7,.714,1,13,14,9,1,0,4,0,24,19.3,2
35,36,2019-02-05,34,LAL,@,IND,L (-42),1,30:13,7,12,0.583,2,5,.400,2,3,.667,0,7,7,9,1,0,6,1,18,15.0,-17
36,37,2019-02-07,34,LAL,@,BOS,W (+1),1,37:44,11,21,0.524,5,10,.500,1,5,.200,2,10,12,12,3,0,3,4,28,27.3,11
37,38,2019-02-10,34,LAL,@,PHI,L (-23),1,33:09,8,16,0.5,2,6,.333,0,0,,0,10,10,9,0,0,4,3,18,14.1,0
38,39,2019-02-12,34,LAL,@,ATL,L (-4),1,43:03,8,20,0.4,3,10,.300,9,11,.818,2,9,11,16,3,1,2,3,28,32.2,0
39,40,2019-02-21,34,LAL,H,HOU,W (+5),1,40:08,11,23,0.478,0,4,.000,7,10,.700,4,8,12,6,1,1,4,1,29,22.8,6
40,41,2019-02-23,34,LAL,@,NOP,L (-13),1,38:31,11,17,0.647,3,6,.500,2,6,.333,0,7,7,12,4,1,4,0,27,29.1,-10
41,42,2019-02-25,34,LAL,@,MEM,L (-5),1,39:44,8,23,0.348,0,4,.000,8,10,.800,3,9,12,11,3,0,5,3,24,19.6,2
42,43,2019-02-27,34,LAL,H,NOP,W (+6),1,37:19,13,24,0.542,4,9,.444,3,8,.375,1,5,6,10,2,1,2,2,33,28.5,2
43,44,2019-03-01,34,LAL,H,MIL,L (-11),1,38:49,10,19,0.526,3,8,.375,8,10,.800,2,5,7,10,1,0,3,2,31,28.0,-4
44,45,2019-03-02,34,LAL,@,PHO,L (-9),1,40:46,10,21,0.476,4,9,.444,3,7,.429,0,9,9,16,0,0,3,2,27,24.8,-1
45,46,2019-03-04,34,LAL,H,LAC,L (-8),1,42:24,9,18,0.5,1,6,.167,8,12,.667,0,8,8,6,1,1,2,3,27,21.5,-11
46,47,2019-03-06,34,LAL,H,DEN,L (-16),1,31:07,13,22,0.591,2,7,.286,3,8,.375,0,7,7,7,1,1,4,4,31,21.9,-8
47,48,2019-03-09,34,LAL,H,BOS,L (-13),1,27:46,13,23,0.565,1,5,.200,3,7,.429,2,8,10,12,0,0,3,0,30,26.7,11
48,49,2019-03-12,34,LAL,@,CHI,W (+16),1,33:24,15,23,0.652,2,4,.500,4,5,.800,1,9,10,4,2,0,5,2,36,27.9,9
49,50,2019-03-14,34,LAL,@,TOR,L (-13),1,31:47,12,23,0.522,1,5,.200,4,7,.571,0,4,4,6,1,0,4,2,29,18.1,0
50,51,2019-03-17,34,LAL,@,NYK,L (-1),1,35:00,11,26,0.423,0,6,.000,11,13,.846,2,4,6,8,0,1,2,2,33,24.5,9
51,52,2019-03-22,34,LAL,H,BRK,L (-5),1,36:42,8,25,0.32,1,7,.143,8,12,.667,3,6,9,14,1,1,8,3,25,15.3,-2
52,53,2019-03-24,34,LAL,H,SAC,W (+5),1,35:16,9,22,0.409,3,6,.500,8,9,.889,2,9,11,11,2,1,4,1,29,26.9,5
53,54,2019-03-26,34,LAL,H,WAS,W (+18),1,33:54,11,20,0.55,1,6,.167,0,2,.000,0,7,7,14,1,0,3,1,23,22.1,3
54,55,2019-03-29,34,LAL,H,CHO,W (+14),1,31:58,11,19,0.579,4,7,.571,1,2,.500,0,3,3,9,0,0,6,1,27,18.5,14
