,G,Date,Age,Tm,Location,Opp,Margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
75,76,2016-04-11,31,CLE,H,ATL,W (+15),1,32:25,13,16,0.813,3,4,.750,5,5,1.000,1,5,6,6,2,1,4,2,34,32.3,13
0,1,2016-10-25,31,CLE,H,NYK,W (+29),1,32:23,9,14,0.643,0,3,.000,1,2,.500,3,8,11,14,0,1,4,3,19,22.2,26
1,2,2016-10-28,31,CLE,@,TOR,W (+3),1,38:40,7,16,0.438,2,6,.333,5,7,.714,2,6,8,7,0,0,5,2,21,14.1,0
2,3,2016-10-29,31,CLE,H,ORL,W (+6),1,39:00,7,16,0.438,2,6,.333,7,11,.636,1,5,6,9,1,1,2,2,23,20.4,1
3,4,2016-11-01,31,CLE,H,HOU,W (+8),1,35:51,6,12,0.5,1,3,.333,6,10,.600,3,10,13,8,0,0,4,4,19,16.5,15
4,5,2016-11-03,31,CLE,H,BOS,W (+6),1,36:22,12,22,0.545,1,4,.250,5,5,1.000,1,6,7,12,1,0,2,2,30,28.5,18
5,6,2016-11-05,31,CLE,@,PHI,W (+1),1,35:52,9,23,0.391,1,5,.200,6,7,.857,1,7,8,14,2,1,5,1,25,22.0,11
6,7,2016-11-08,31,CLE,H,ATL,L (-4),1,36:52,8,17,0.471,2,5,.400,5,5,1.000,2,7,9,5,3,0,1,3,23,22.1,7
7,8,2016-11-11,31,CLE,@,WAS,W (+11),1,38:06,9,18,0.5,3,4,.750,6,9,.667,0,10,10,5,2,2,6,1,27,20.3,7
8,9,2016-11-13,31,CLE,H,CHO,W (+7),1,38:42,8,21,0.381,2,5,.400,1,2,.500,0,8,8,8,1,1,3,0,19,13.8,12
9,10,2016-11-15,31,CLE,H,TOR,W (+4),1,38:04,10,15,0.667,2,5,.400,6,10,.600,0,9,9,15,1,0,5,2,28,28.3,1
10,11,2016-11-18,31,CLE,H,DET,W (+23),1,28:03,9,14,0.643,1,3,.333,2,3,.667,0,3,3,3,0,1,2,1,21,15.7,21
11,12,2016-11-23,31,CLE,H,POR,W (+12),1,37:30,11,21,0.524,2,3,.667,7,8,.875,1,9,10,13,3,0,3,0,31,32.8,17
12,13,2016-11-25,31,CLE,H,DAL,W (+38),1,29:03,6,13,0.462,2,5,.400,5,5,1.000,0,5,5,11,1,0,4,1,19,18.1,33
13,14,2016-11-27,31,CLE,@,PHI,W (+4),1,41:30,9,19,0.474,1,4,.250,7,9,.778,2,8,10,13,1,0,5,0,26,24.4,2
14,15,2016-11-29,31,CLE,@,MIL,L (-17),1,32:53,8,16,0.5,3,8,.375,3,7,.429,0,4,4,4,0,0,7,3,22,8.2,-12
15,16,2016-12-01,31,CLE,H,LAC,L (-19),1,33:37,5,14,0.357,0,2,.000,6,11,.545,1,4,5,5,2,0,5,2,16,7.8,-20
16,17,2016-12-02,31,CLE,@,CHI,L (-6),1,44:40,13,22,0.591,1,3,.333,0,0,,0,5,5,13,0,0,8,2,27,18.6,-2
17,18,2016-12-05,31,CLE,@,TOR,W (+4),1,42:01,12,26,0.462,2,7,.286,8,9,.889,3,5,8,7,2,0,1,2,34,28.9,9
18,19,2016-12-07,31,CLE,@,NYK,W (+32),1,32:27,7,10,0.7,1,2,.500,10,14,.714,2,4,6,7,1,2,4,2,25,24.3,32
19,20,2016-12-09,31,CLE,H,MIA,W (+30),1,37:19,12,22,0.545,1,3,.333,2,4,.500,2,6,8,8,3,0,3,2,27,23.6,22
20,21,2016-12-10,31,CLE,H,CHO,W (+11),1,42:27,17,24,0.708,5,10,.500,5,9,.556,1,8,9,10,3,1,5,3,44,40.0,-1
21,22,2016-12-13,31,CLE,H,MEM,W (+17),1,36:29,9,17,0.529,0,4,.000,5,8,.625,1,5,6,8,3,0,6,1,23,17.9,9
22,23,2016-12-17,31,CLE,H,LAL,W (+11),1,38:55,9,18,0.5,2,5,.400,6,11,.545,1,6,7,9,2,2,2,1,26,24.8,17
23,24,2016-12-20,31,CLE,@,MIL,W (+6),1,47:29,12,25,0.48,5,9,.556,5,6,.833,3,9,12,7,1,1,2,2,34,29.5,8
24,25,2016-12-21,31,CLE,H,MIL,W (+11),1,34:25,12,24,0.5,4,7,.571,1,1,1.000,1,8,9,6,0,0,2,0,29,22.3,26
25,26,2016-12-23,31,CLE,H,BRK,W (+20),1,27:16,7,16,0.438,0,3,.000,5,6,.833,1,3,4,6,3,0,1,0,19,18.0,32
26,27,2016-12-25,31,CLE,H,GSW,W (+1),1,40:11,12,22,0.545,4,8,.500,3,7,.429,5,8,13,4,2,1,5,2,31,24.4,4
27,28,2016-12-29,31,CLE,H,BOS,W (+6),1,43:44,9,18,0.5,2,6,.333,3,7,.429,2,6,8,11,1,3,8,2,23,17.6,1
28,29,2016-12-31,32,CLE,@,CHO,W (+12),1,35:47,12,25,0.48,4,8,.500,4,6,.667,2,4,6,9,1,0,1,1,32,27.0,17
29,30,2017-01-02,32,CLE,H,NOP,W (+8),1,38:55,9,21,0.429,0,4,.000,8,10,.800,2,5,7,6,2,1,4,1,26,19.5,-4
30,31,2017-01-04,32,CLE,H,CHI,L (-12),1,36:53,12,21,0.571,1,2,.500,6,9,.667,2,6,8,7,1,0,5,2,31,23.2,-13
